,agent_type,scenario,reward,steps,interaction_num,duration,cost,datetime,duration_1000_steps_sec,episode_duration_sec,step_exec_times_sec
176,hm_llama3,1,-11.82,1599,29,,0.0,2025-12-24_08-15-18,1040.1451399326324,1770.2724916934967,
177,hm_llama3,1,3.1279999999999992,1699,29,,0.0,2025-12-24_08-30-42,921.2685232162476,1782.1540236473083,
178,hm_llama3,1,-19.363000000000003,1099,19,,0.0,2025-12-24_08-46-46,1009.1432132720948,1098.12632727623,
179,hm_llama3,2,4.921999999999999,1199,19,,0.0,2025-12-25_05-06-16,810.6664221286774,1006.943915605545,
180,hm_llama3,0,7.433000000000001,1699,27,,0.0,2025-12-25_05-03-56,868.3840000629425,1558.7917597293854,
181,hm_llama3,2,-20.687,1299,22,,0.0,2025-12-25_05-25-13,933.082861185074,1214.5189096927645,
182,hm_llama3,2,-2.294,1299,21,,0.0,2025-12-25_05-32-16,891.0432288646698,1144.7416055202484,
183,hm_llama3,2,-26.898000000000003,1099,20,,0.0,2025-12-25_05-53-24,942.6688811779022,1050.4580838680267,
184,hm_llama3,2,-42.36,2099,37,,0.0,2025-12-25_05-47-43,922.340078830719,2097.0079720020294,
185,hm_llama3,2,-1.656000000000001,1899,35,,0.0,2025-12-25_06-13-20,643.0116474628448,1730.331165790558,
186,hm_llama3,3,1.31,1199,22,,0.0,2025-12-25_06-57-51,1055.829275846481,1310.0261096954346,
187,hm_llama3,3,6.260000000000001,1799,31,,0.0,2025-12-25_06-58-22,1022.1966545581818,1608.7362859249115,
188,hm_llama3,3,-27.278,1299,22,,0.0,2025-12-25_07-21-58,980.1970067024232,1295.3600897789,
189,hm_llama3,3,-19.843,1799,36,,0.0,2025-12-25_07-27-15,987.353234052658,1776.2570974826813,
190,hm_llama3,3,12.041,1599,32,,0.0,2025-12-25_07-58-58,985.3761441707612,1573.6927859783173,
191,hm_llama3,3,-95.789,2499,46,,0.0,2025-12-25_07-45-56,890.4073419570923,2627.9192609786987,
192,hm_llama3,3,-3.938,1199,21,,0.0,2025-12-25_08-53-02,864.5017640590668,1079.440224647522,
193,hm_llama3,3,-1.917,1399,29,,0.0,2025-12-25_08-52-39,1019.6632537841796,1530.5458869934082,
194,hm_llama3,3,-38.42499999999999,1299,24,,0.0,2025-12-25_09-12-59,959.4760038852692,1321.1439118385315,
195,hm_llama3,3,26.186,1599,29,,0.0,2025-12-25_09-20-05,893.9664342403412,1586.2130389213562,
196,hm_llama3,3,53.317,1299,25,,0.0,2025-12-25_09-37-07,910.3679916858672,1247.213011264801,
197,hm_llama3,3,11.084,1299,26,,0.0,2025-12-25_09-48-58,974.9363226890564,1323.0696539878843,
198,hm_llama3,4,-9.932,1699,30,,0.0,2025-12-25_10-00-19,916.5435502529144,1680.208105802536,
199,hm_llama3,4,23.689,1799,32,,0.0,2025-12-25_10-13-14,895.3611507415771,1635.9495248794556,
200,hm_llama3,4,-10.906,1199,19,,0.0,2025-12-25_10-30-42,795.901912689209,1021.499533176422,
201,hm_llama3,4,-7.539,1799,30,,0.0,2025-12-25_10-42-53,874.4284150600433,1694.4233694076538,
202,hm_llama3,4,-41.068,1199,19,,0.0,2025-12-25_11-13-23,651.6248114109039,789.3642141819,
203,hm_llama3,4,-62.702999999999975,3299,55,,0.0,2025-12-25_10-49-36,829.6727421283722,3162.343783378601,
204,hm_llama3,5,0.716,1099,5,,0.0,2025-12-25_15-25-15,495.8716638088226,542.1693675518036,
205,hm_llama3,5,5.416,1299,13,,0.0,2025-12-25_15-27-53,582.0645747184753,800.7553813457489,
206,hm_llama3,5,17.418,1999,19,,0.0,2025-12-25_15-36-16,570.7985846996307,1339.975680589676,
207,hm_llama3,5,-6.215999999999999,1499,19,,0.0,2025-12-25_15-49-13,705.3392012119293,1088.650616645813,
208,hm_llama3,5,5.07,2299,27,,0.0,2025-12-26_02-37-38,746.1835961341858,1734.475138425827,
209,hm_llama3,6,32.468,1799,32,,0.0,2025-12-26_02-39-40,832.3260052204132,1643.8014092445374,
210,hm_llama3,6,17.798000000000002,1099,18,,0.0,2025-12-26_03-09-22,844.3633573055267,955.2301239967346,
211,hm_llama3,6,28.511000000000003,1299,22,,0.0,2025-12-26_03-08-38,879.7830443382263,1160.1594359874723,
212,hm_llama3,6,4.283,1099,20,,0.0,2025-12-26_03-27-18,1000.0900354385376,1118.7401292324066,
213,hm_llama3,6,-56.507000000000005,1499,24,,0.0,2025-12-26_03-30-10,805.5247292518616,1305.1995871067047,
